goal_id,skill_id,importance_weight
goal_data_analyst,excel_basics,1.0
goal_data_analyst,sql_basics,1.0
goal_data_analyst,python_basics,1.0
goal_data_analyst,r_basics,1.0
goal_data_analyst,pandas_numpy,1.0
goal_data_analyst,power_bi,1.0
goal_data_analyst,tableau,1.0
goal_bi_analyst,excel_basics,1.0
goal_bi_analyst,sql_basics,1.0
goal_bi_analyst,python_basics,1.0
goal_bi_analyst,pandas_numpy,1.0
goal_bi_analyst,power_bi,1.0
goal_bi_analyst,tableau,1.0
goal_bi_analyst,data_warehousing,1.0
goal_data_scientist,excel_basics,1.0
goal_data_scientist,sql_basics,1.0
goal_data_scientist,python_basics,1.0
goal_data_scientist,r_basics,1.0
goal_data_scientist,pandas_numpy,1.0
goal_data_scientist,statistics,1.0
goal_data_scientist,statistical_modeling_r,1.0
goal_data_scientist,data_wrangling,1.0
goal_data_scientist,power_bi,1.0
goal_data_scientist,tableau,1.0
goal_data_scientist,machine_learning,1.0
goal_ml_engineer,python_basics,1.0
goal_ml_engineer,pandas_numpy,1.0
goal_ml_engineer,statistics,1.0
goal_ml_engineer,data_wrangling,1.0
goal_ml_engineer,machine_learning,1.0
goal_ml_engineer,docker_basics,1.0
goal_ml_engineer,mlops_basics,1.0
goal_ml_engineer,cloud_aws_basics,1.0
goal_ml_engineer,model_serving,1.0
goal_mlops_eng,linux_basics,1.0
goal_mlops_eng,python_basics,1.0
goal_mlops_eng,docker_basics,1.0
goal_mlops_eng,machine_learning,1.0
goal_mlops_eng,mlops_basics,1.0
goal_mlops_eng,ci_cd_basics,1.0
goal_mlops_eng,kubernetes_basics,1.0
goal_mlops_eng,cloud_aws_basics,1.0
goal_mlops_eng,model_serving,1.0
goal_mlops_eng,model_monitoring,1.0
goal_ml_researcher,python_basics,1.0
goal_ml_researcher,python_advanced,1.0
goal_ml_researcher,pandas_numpy,1.0
goal_ml_researcher,statistics,1.0
goal_ml_researcher,statistical_modeling_r,1.0
goal_ml_researcher,data_wrangling,1.0
goal_ml_researcher,machine_learning,1.0
goal_ml_researcher,deep_learning,1.0
goal_ai_engineer,python_basics,1.0
goal_ai_engineer,python_advanced,1.0
goal_ai_engineer,pandas_numpy,1.0
goal_ai_engineer,statistics,1.0
goal_ai_engineer,machine_learning,1.0
goal_ai_engineer,deep_learning,1.0
goal_ai_engineer,pytorch,1.0
goal_ai_engineer,llm_applications,1.0
goal_ai_engineer,vector_databases,1.0
goal_ai_engineer,rag_systems,1.0
goal_ai_engineer,model_serving,1.0
goal_ai_engineer,mlops_basics,1.0
goal_cv_eng,python_basics,1.0
goal_cv_eng,pandas_numpy,1.0
goal_cv_eng,statistics,1.0
goal_cv_eng,machine_learning,1.0
goal_cv_eng,deep_learning,1.0
goal_cv_eng,pytorch,1.0
goal_nlp_eng,python_basics,1.0
goal_nlp_eng,pandas_numpy,1.0
goal_nlp_eng,statistics,1.0
goal_nlp_eng,machine_learning,1.0
goal_nlp_eng,deep_learning,1.0
goal_nlp_eng,llm_applications,1.0
goal_prompt_eng,python_basics,1.0
goal_prompt_eng,machine_learning,1.0
goal_prompt_eng,llm_applications,1.0
goal_prompt_eng,prompt_engineering,1.0
goal_data_eng,python_basics,1.0
goal_data_eng,sql_basics,1.0
goal_data_eng,data_pipelines,1.0
goal_data_eng,spark_basics,1.0
goal_data_eng,data_warehousing,1.0
goal_data_eng,etl_orchestration,1.0
goal_analytics_eng,sql_basics,1.0
goal_analytics_eng,python_basics,1.0
goal_analytics_eng,data_pipelines,1.0
goal_analytics_eng,dbt_basics,1.0
goal_analytics_eng,data_warehousing,1.0
goal_data_governance_analyst,sql_basics,1.0
goal_data_governance_analyst,data_pipelines,1.0
goal_data_governance_analyst,data_warehousing,1.0
goal_data_governance_analyst,data_governance,1.0
goal_data_privacy_eng,security_fundamentals,1.0
goal_data_privacy_eng,identity_access_management,1.0
goal_data_privacy_eng,data_warehousing,1.0
goal_data_privacy_eng,data_governance,1.0
goal_frontend_eng,html_css_basics,1.0
goal_frontend_eng,javascript_basics,1.0
goal_frontend_eng,typescript_basics,1.0
goal_frontend_eng,react_basics,1.0
goal_frontend_eng,state_management,1.0
goal_frontend_eng,frontend_testing,1.0
goal_perf_eng,html_css_basics,1.0
goal_perf_eng,javascript_basics,1.0
goal_perf_eng,react_basics,1.0
goal_perf_eng,web_performance,1.0
goal_perf_eng,monitoring_observability,1.0
goal_backend_eng,python_basics,1.0
goal_backend_eng,sql_basics,1.0
goal_backend_eng,rest_apis,1.0
goal_backend_eng,databases_basics,1.0
goal_backend_eng,backend_frameworks,1.0
goal_backend_eng,system_design,1.0
goal_fullstack_eng,html_css_basics,1.0
goal_fullstack_eng,javascript_basics,1.0
goal_fullstack_eng,react_basics,1.0
goal_fullstack_eng,state_management,1.0
goal_fullstack_eng,python_basics,1.0
goal_fullstack_eng,sql_basics,1.0
goal_fullstack_eng,rest_apis,1.0
goal_fullstack_eng,databases_basics,1.0
goal_fullstack_eng,backend_frameworks,1.0
goal_fullstack_eng,system_design,1.0
goal_solutions_architect,sql_basics,1.0
goal_solutions_architect,rest_apis,1.0
goal_solutions_architect,databases_basics,1.0
goal_solutions_architect,system_design,1.0
goal_solutions_architect,cloud_aws_basics,1.0
goal_solutions_architect,cloud_architecture,1.0
goal_solutions_architect,stakeholder_management,1.0
goal_growth_eng,javascript_basics,1.0
goal_growth_eng,digital_marketing_fundamentals,1.0
goal_growth_eng,google_analytics,1.0
goal_growth_eng,ab_testing,1.0
goal_android_eng,git_basics,1.0
goal_android_eng,html_css_basics,1.0
goal_android_eng,kotlin_basics,1.0
goal_android_eng,android_development,1.0
goal_android_eng,mobile_ui_patterns,1.0
goal_ios_eng,git_basics,1.0
goal_ios_eng,html_css_basics,1.0
goal_ios_eng,swift_basics,1.0
goal_ios_eng,ios_development,1.0
goal_ios_eng,mobile_ui_patterns,1.0
goal_cloud_eng,linux_basics,1.0
goal_cloud_eng,docker_basics,1.0
goal_cloud_eng,cloud_aws_basics,1.0
goal_cloud_eng,terraform_basics,1.0
goal_cloud_eng,kubernetes_basics,1.0
goal_cloud_architect,linux_basics,1.0
goal_cloud_architect,docker_basics,1.0
goal_cloud_architect,cloud_aws_basics,1.0
goal_cloud_architect,gcp_basics,1.0
goal_cloud_architect,azure_basics,1.0
goal_cloud_architect,system_design,1.0
goal_cloud_architect,cloud_architecture,1.0
goal_cloud_architect,multi_cloud,1.0
goal_devops_eng,linux_basics,1.0
goal_devops_eng,git_basics,1.0
goal_devops_eng,docker_basics,1.0
goal_devops_eng,ci_cd_basics,1.0
goal_devops_eng,jenkins_basics,1.0
goal_devops_eng,kubernetes_basics,1.0
goal_devops_eng,ansible_basics,1.0
goal_devops_eng,infrastructure_as_code,1.0
goal_sre,linux_basics,1.0
goal_sre,docker_basics,1.0
goal_sre,kubernetes_basics,1.0
goal_sre,prometheus_grafana,1.0
goal_sre,monitoring_observability,1.0
goal_sre,system_design,1.0
goal_sre,cloud_aws_basics,1.0
goal_sre,release_engineering,1.0
goal_platform_eng,linux_basics,1.0
goal_platform_eng,docker_basics,1.0
goal_platform_eng,kubernetes_basics,1.0
goal_platform_eng,cloud_aws_basics,1.0
goal_platform_eng,terraform_basics,1.0
goal_platform_eng,infrastructure_as_code,1.0
goal_platform_eng,ci_cd_basics,1.0
goal_infra_eng,linux_basics,1.0
goal_infra_eng,networking_basics,1.0
goal_infra_eng,systems_administration,1.0
goal_infra_eng,ansible_basics,1.0
goal_release_eng,git_basics,1.0
goal_release_eng,linux_basics,1.0
goal_release_eng,ci_cd_basics,1.0
goal_release_eng,jenkins_basics,1.0
goal_release_eng,release_engineering,1.0
goal_sysadmin,linux_basics,1.0
goal_sysadmin,networking_basics,1.0
goal_sysadmin,it_support_fundamentals,1.0
goal_sysadmin,systems_administration,1.0
goal_it_support,it_support_fundamentals,1.0
goal_it_support,networking_basics,1.0
goal_tech_support_eng,it_support_fundamentals,1.0
goal_tech_support_eng,networking_basics,1.0
goal_tech_support_eng,rest_apis,1.0
goal_network_eng,networking_basics,1.0
goal_network_eng,network_administration,1.0
goal_network_eng,security_fundamentals,1.0
goal_network_eng,network_security,1.0
goal_security_eng,networking_basics,1.0
goal_security_eng,security_fundamentals,1.0
goal_security_eng,network_security,1.0
goal_security_eng,rest_apis,1.0
goal_security_eng,application_security,1.0
goal_security_eng,identity_access_management,1.0
goal_security_eng,siem_tools,1.0
goal_pentester,networking_basics,1.0
goal_pentester,security_fundamentals,1.0
goal_pentester,network_security,1.0
goal_pentester,penetration_testing,1.0
goal_pentester,burp_suite,1.0
goal_dba,sql_basics,1.0
goal_dba,databases_basics,1.0
goal_dba,database_administration,1.0
goal_dba,database_tuning,1.0
goal_qa_eng,manual_testing,1.0
goal_qa_eng,jira_basics,1.0
goal_qa_eng,python_basics,1.0
goal_qa_eng,test_automation,1.0
goal_qa_eng,frontend_testing,1.0
goal_product_manager,agile_basics,1.0
goal_product_manager,jira_basics,1.0
goal_product_manager,product_discovery,1.0
goal_product_manager,product_roadmapping,1.0
goal_product_manager,stakeholder_management,1.0
goal_scrum_master,agile_basics,1.0
goal_scrum_master,jira_basics,1.0
goal_scrum_master,scrum_facilitation,1.0
goal_scrum_master,stakeholder_management,1.0
goal_ux_designer,figma_basics,1.0
goal_ux_designer,miro_basics,1.0
goal_ux_designer,ux_research,1.0
goal_ux_designer,ui_design_principles,1.0
goal_ux_designer,prototyping,1.0
goal_ui_designer,figma_basics,1.0
goal_ui_designer,sketch_basics,1.0
goal_ui_designer,ui_design_principles,1.0
goal_ui_designer,design_systems,1.0
goal_game_dev,git_basics,1.0
goal_game_dev,game_engine_basics,1.0
goal_game_dev,gameplay_programming,1.0
goal_game_dev,graphics_programming,1.0
goal_embedded_eng,git_basics,1.0
goal_embedded_eng,embedded_c_basics,1.0
goal_embedded_eng,rtos_basics,1.0
goal_embedded_eng,hardware_interfacing,1.0
goal_robotics_eng,git_basics,1.0
goal_robotics_eng,embedded_c_basics,1.0
goal_robotics_eng,robotics_fundamentals,1.0
goal_robotics_eng,ros_basics,1.0
goal_ar_vr_dev,git_basics,1.0
goal_ar_vr_dev,game_engine_basics,1.0
goal_ar_vr_dev,gameplay_programming,1.0
goal_ar_vr_dev,ar_vr_basics,1.0
goal_ar_vr_dev,graphics_programming,1.0
goal_blockchain_dev,javascript_basics,1.0
goal_blockchain_dev,solidity_basics,1.0
goal_blockchain_dev,smart_contracts,1.0
goal_blockchain_dev,blockchain_architecture,1.0
goal_tech_writer,technical_writing,1.0
goal_tech_writer,rest_apis,1.0
