course_id,skill_id,skill_weight
course_001,python_basics,1.0
course_002,python_basics,1.0
course_003,python_basics,1.0
course_004,python_basics,1.0
course_005,python_basics,1.0
course_006,git_basics,1.0
course_007,git_basics,1.0
course_008,git_basics,1.0
course_009,git_basics,1.0
course_010,git_basics,1.0
course_011,sql_basics,1.0
course_012,sql_basics,1.0
course_013,sql_basics,1.0
course_014,sql_basics,1.0
course_015,sql_basics,1.0
course_016,html_css_basics,1.0
course_017,html_css_basics,1.0
course_018,html_css_basics,1.0
course_019,html_css_basics,1.0
course_020,html_css_basics,1.0
course_021,docker_basics,1.0
course_022,docker_basics,1.0
course_023,docker_basics,1.0
course_024,docker_basics,1.0
course_025,docker_basics,1.0
course_026,linux_basics,1.0
course_027,linux_basics,1.0
course_028,linux_basics,1.0
course_029,linux_basics,1.0
course_030,linux_basics,1.0
course_031,networking_basics,1.0
course_032,networking_basics,1.0
course_033,networking_basics,1.0
course_034,networking_basics,1.0
course_035,networking_basics,1.0
course_036,agile_basics,1.0
course_037,agile_basics,1.0
course_038,agile_basics,1.0
course_039,agile_basics,1.0
course_040,agile_basics,1.0
course_041,excel_basics,1.0
course_042,excel_basics,1.0
course_043,excel_basics,1.0
course_044,excel_basics,1.0
course_045,excel_basics,1.0
course_046,r_basics,1.0
course_047,r_basics,1.0
course_048,r_basics,1.0
course_049,r_basics,1.0
course_050,r_basics,1.0
course_051,figma_basics,1.0
course_052,figma_basics,1.0
course_053,figma_basics,1.0
course_054,figma_basics,1.0
course_055,figma_basics,1.0
course_056,manual_testing,1.0
course_057,manual_testing,1.0
course_058,manual_testing,1.0
course_059,manual_testing,1.0
course_060,manual_testing,1.0
course_061,security_fundamentals,1.0
course_062,security_fundamentals,1.0
course_063,security_fundamentals,1.0
course_064,security_fundamentals,1.0
course_065,security_fundamentals,1.0
course_066,product_discovery,1.0
course_067,product_discovery,1.0
course_068,product_discovery,1.0
course_069,product_discovery,1.0
course_070,product_discovery,1.0
course_071,stakeholder_management,1.0
course_072,stakeholder_management,1.0
course_073,stakeholder_management,1.0
course_074,stakeholder_management,1.0
course_075,stakeholder_management,1.0
course_076,ux_research,1.0
course_077,ux_research,1.0
course_078,ux_research,1.0
course_079,ux_research,1.0
course_080,ux_research,1.0
course_081,technical_writing,1.0
course_082,technical_writing,1.0
course_083,technical_writing,1.0
course_084,technical_writing,1.0
course_085,technical_writing,1.0
course_086,it_support_fundamentals,1.0
course_087,it_support_fundamentals,1.0
course_088,it_support_fundamentals,1.0
course_089,it_support_fundamentals,1.0
course_090,it_support_fundamentals,1.0
course_091,salesforce_basics,1.0
course_092,salesforce_basics,1.0
course_093,salesforce_basics,1.0
course_094,salesforce_basics,1.0
course_095,salesforce_basics,1.0
course_096,erp_fundamentals,1.0
course_097,erp_fundamentals,1.0
course_098,erp_fundamentals,1.0
course_099,erp_fundamentals,1.0
course_100,erp_fundamentals,1.0
course_101,digital_marketing_fundamentals,1.0
course_102,digital_marketing_fundamentals,1.0
course_103,digital_marketing_fundamentals,1.0
course_104,digital_marketing_fundamentals,1.0
course_105,digital_marketing_fundamentals,1.0
course_106,jira_basics,1.0
course_107,jira_basics,1.0
course_108,jira_basics,1.0
course_109,jira_basics,1.0
course_110,jira_basics,1.0
course_111,miro_basics,1.0
course_112,miro_basics,1.0
course_113,miro_basics,1.0
course_114,miro_basics,1.0
course_115,miro_basics,1.0
course_116,python_advanced,1.0
course_117,python_advanced,1.0
course_118,python_advanced,1.0
course_119,python_advanced,1.0
course_120,python_advanced,1.0
course_121,pandas_numpy,1.0
course_122,pandas_numpy,1.0
course_123,pandas_numpy,1.0
course_124,pandas_numpy,1.0
course_125,pandas_numpy,1.0
course_126,statistics,1.0
course_127,statistics,1.0
course_128,statistics,1.0
course_129,statistics,1.0
course_130,statistics,1.0
course_131,statistical_modeling_r,1.0
course_132,statistical_modeling_r,1.0
course_133,statistical_modeling_r,1.0
course_134,statistical_modeling_r,1.0
course_135,statistical_modeling_r,1.0
course_136,data_wrangling,1.0
course_137,data_wrangling,1.0
course_138,data_wrangling,1.0
course_139,data_wrangling,1.0
course_140,data_wrangling,1.0
course_141,power_bi,1.0
course_142,power_bi,1.0
course_143,power_bi,1.0
course_144,power_bi,1.0
course_145,power_bi,1.0
course_146,tableau,1.0
course_147,tableau,1.0
course_148,tableau,1.0
course_149,tableau,1.0
course_150,tableau,1.0
course_151,machine_learning,1.0
course_152,machine_learning,1.0
course_153,machine_learning,1.0
course_154,machine_learning,1.0
course_155,machine_learning,1.0
course_156,deep_learning,1.0
course_157,deep_learning,1.0
course_158,deep_learning,1.0
course_159,deep_learning,1.0
course_160,deep_learning,1.0
course_161,mlops_basics,1.0
course_162,mlops_basics,1.0
course_163,mlops_basics,1.0
course_164,mlops_basics,1.0
course_165,mlops_basics,1.0
course_166,model_monitoring,1.0
course_167,model_monitoring,1.0
