course_id,skill_id,skill_weight
course_001,python_basics,1.0
course_002,python_basics,1.0
course_003,git_basics,1.0
course_004,git_basics,1.0
course_005,sql_basics,1.0
course_006,sql_basics,1.0
course_007,html_css_basics,1.0
course_008,html_css_basics,1.0
course_009,docker_basics,1.0
course_010,docker_basics,1.0
course_011,python_advanced,1.0
course_012,python_advanced,1.0
course_013,statistics,1.0
course_014,statistics,1.0
course_015,rest_apis,1.0
course_016,rest_apis,1.0
course_017,databases_basics,1.0
course_018,databases_basics,1.0
course_019,javascript_basics,1.0
course_020,javascript_basics,1.0
course_021,kubernetes_basics,1.0
course_022,kubernetes_basics,1.0
course_023,cloud_aws_basics,1.0
course_024,cloud_aws_basics,1.0
course_025,data_wrangling,1.0
course_026,data_wrangling,1.0
course_027,typescript_basics,1.0
course_028,typescript_basics,1.0
course_029,react_basics,1.0
course_030,react_basics,1.0
course_031,system_design,1.0
course_032,system_design,1.0
course_033,backend_frameworks,1.0
course_034,backend_frameworks,1.0
course_035,data_visualization,1.0
course_036,data_visualization,1.0
course_037,machine_learning,1.0
course_038,machine_learning,1.0
course_039,state_management,1.0
course_040,state_management,1.0
course_041,frontend_testing,1.0
course_042,frontend_testing,1.0
course_043,web_performance,1.0
course_044,web_performance,1.0
course_045,deep_learning,1.0
course_046,deep_learning,1.0
course_047,mlops_basics,1.0
course_048,mlops_basics,1.0
